name,D1,D2,Sum_director,year,country,types,score,num
哪吒闹海,王树忱,严定宪,2,1979,中国大陆,冒险,9.2,304608
幸福终点站,史蒂文·斯皮尔伯格,,1,2004,美国,喜剧,8.8,634832
九品芝麻官,王晶,,1,1994,中国香港,剧情,8.8,783823
被解救的姜戈,昆汀·塔伦蒂诺,,1,2012,美国,剧情,8.8,683769
釜山行,延尚昊,,1,2016,韩国,动作,8.6,1336753
小森林 冬春篇,森淳一,,1,2015,日本,剧情,9.0,416632
神偷奶爸,皮艾尔·柯芬,克里斯·雷纳德,2,2010,美国,喜剧,8.7,1037687
喜宴,李安,,1,1993,中国台湾,剧情,9.0,424960
萤火之森,大森贵弘,,1,2011,日本,剧情,8.8,603753
告白,中岛哲也,,1,2010,日本,剧情,8.8,736797
玛丽和麦克斯,亚当·艾略特,,1,2009,澳大利亚,剧情,9.0,465644
头号玩家,史蒂文·斯皮尔伯格,,1,2018,美国,动作,8.6,1502196
七武士,黑泽明,,1,1954,日本,动作,9.3,231951
模仿游戏,莫滕·泰杜姆,,1,2014,英国,剧情,8.8,714386
大鱼,蒂姆·波顿,,1,2003,美国,剧情,8.8,621603
惊魂记,阿尔弗雷德·希区柯克,,1,1960,美国,悬疑,9.0,350575
射雕英雄传之东成西就,刘镇伟,,1,1993,中国香港,喜剧,8.7,711754
血战钢锯岭,梅尔·吉布森,,1,2016,澳大利亚,剧情,8.7,852832
你的名字。,新海诚,,1,2016,日本,剧情,8.5,1577990
我是山姆,杰茜·尼尔森,,1,2001,美国,剧情,9.0,372734
心灵奇旅,彼特·道格特,凯普·鲍尔斯,2,2020,美国,动画,8.7,1127265
背靠背，脸对脸,黄建新,杨亚洲,2,1994,中国大陆,剧情,9.5,175676
阳光姐妹淘,姜炯哲,,1,2011,韩国,剧情,8.8,633685
恐怖直播,金秉祐,,1,2013,韩国,剧情,8.7,721894
黑客帝国3：矩阵革命,拉娜·沃卓斯基,莉莉·沃卓斯基,2,2003,美国,动作,8.8,492819
三块广告牌,马丁·麦克唐纳,,1,2017,英国,剧情,8.7,911846
电锯惊魂,詹姆斯·温,,1,2004,美国,悬疑,8.7,605918
小丑,托德·菲利普斯,,1,2019,美国,剧情,8.7,1116986
谍影重重3,保罗·格林格拉斯,,1,2007,美国,动作,8.9,465912
达拉斯买家俱乐部,让,马克·瓦雷,2,2013,美国,剧情,8.8,501562
无间道2,刘伟强,麦兆辉,2,2003,中国香港,剧情,8.8,559780
疯狂原始人,科克·德·米科,克里斯·桑德斯,2,2013,美国,喜剧,8.7,913600
末路狂花,雷德利·斯科特,,1,1991,美国,犯罪,9.0,338192
高山下的花环,谢晋,,1,1985,中国大陆,剧情,9.5,153083
绿里奇迹,弗兰克·德拉邦特,,1,1999,美国,犯罪,8.9,383792
爱在午夜降临前,理查德·林克莱特,,1,2013,美国,剧情,8.9,467009
海街日记,是枝裕和,,1,2015,日本,剧情,8.8,515171
疯狂的石头,宁浩,,1,2006,中国大陆,喜剧,8.6,916862
风之谷,宫崎骏,,1,1984,日本,动画,8.9,390744
上帝之城,费尔南多·梅里尔斯,卡迪亚·兰德,2,2002,巴西,犯罪,9.0,330760
雨中曲,斯坦利·多南,吉恩·凯利,2,1952,美国,喜剧,9.1,264289
2001太空漫游,斯坦利·库布里克,,1,1968,英国,科幻,8.9,388917
心迷宫,忻钰坤,,1,2014,中国大陆,剧情,8.7,609444
英雄本色,吴宇森,,1,1986,中国香港,剧情,8.6,601148
机器人之梦,巴勃罗·贝格尔,,1,2023,西班牙,剧情,9.1,400488
记忆碎片,克里斯托弗·诺兰,,1,2000,美国,犯罪,8.7,663226
纵横四海,吴宇森,,1,1991,中国香港,剧情,8.8,470087
卢旺达饭店,特瑞·乔治,,1,2004,英国,剧情,8.9,364230
无敌破坏王,瑞奇·莫尔,,1,2012,美国,喜剧,8.7,606247
小偷家族,是枝裕和,,1,2018,日本,剧情,8.7,889075
恐怖游轮,克里斯托弗·史密斯,,1,2009,英国,科幻,8.5,979170
冰川时代,卡洛斯·沙尔丹哈,克里斯·韦奇,2,2002,美国,喜剧,8.7,680408
牯岭街少年杀人事件,杨德昌,,1,1991,中国台湾,剧情,8.9,363207
东京教父,今敏,,1,2003,日本,剧情,9.0,284909
魔女宅急便,宫崎骏,,1,1989,日本,动画,8.7,519624
岁月神偷,罗启锐,,1,2010,中国香港,剧情,8.7,609828
忠犬八公物语,神山征二郎,,1,1987,日本,剧情,9.2,216621
芙蓉镇,谢晋,,1,1987,中国大陆,剧情,9.3,185936
荒蛮故事,达米安·斯兹弗隆,,1,2014,阿根廷,剧情,8.7,511771
遗愿清单,罗伯·莱纳,,1,2007,美国,冒险,8.7,531169
大佛普拉斯,黄信尧,,1,2017,中国台湾,剧情,8.7,546975
源代码,邓肯·琼斯,,1,2011,美国,科幻,8.6,917713
疯狂的麦克斯4：狂暴之路,乔治·米勒,,1,2015,澳大利亚,动作,8.7,612542
你看起来好像很好吃,藤森雅也,,1,2010,日本,剧情,8.9,372130
贫民窟的百万富翁,丹尼·鲍尔,洛芙琳·坦丹,2,2008,英国,剧情,8.6,802561
花束般的恋爱,土井裕泰,,1,2021,日本,剧情,8.6,810882
可可西里,陆川,,1,2004,中国大陆,剧情,8.9,342452
城市之光,查理·卓别林,,1,1931,美国,喜剧,9.3,170354
白日梦想家,本·斯蒂勒,,1,2013,美国,剧情,8.6,633483
波西米亚狂想曲,布莱恩·辛格,,1,2018,英国,剧情,8.6,683369
东邪西毒,王家卫,,1,1994,中国香港,剧情,8.6,631082
爆裂鼓手,达米恩·查泽雷,,1,2014,美国,剧情,8.6,683809
青蛇,徐克,,1,1993,中国香港,剧情,8.6,596267
爱乐之城,达米恩·查泽雷,,1,2016,美国,剧情,8.4,1083438
哈利·波特与死亡圣器(上),大卫·叶茨,,1,2010,英国,奇幻,8.6,686704
无耻混蛋,昆汀·塔伦蒂诺,,1,2009,德国,剧情,8.7,553712
黑天鹅,达伦·阿罗诺夫斯基,,1,2010,美国,剧情,8.6,841374
终结者2：审判日,詹姆斯·卡梅隆,,1,1991,美国,动作,8.8,380945
大红灯笼高高挂,张艺谋,,1,1991,中国大陆,剧情,8.8,363836
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,华森·波克彭,2,1992,中国香港,动作,8.7,503675
人工智能,史蒂文·斯皮尔伯格,,1,2001,美国,剧情,8.7,497465
雨人,巴瑞·莱文森,,1,1988,美国,剧情,8.7,440103
崖上的波妞,宫崎骏,,1,2008,日本,动画,8.6,569555
千钧一发,安德鲁·尼科尔,,1,1997,美国,剧情,8.8,345387
虎口脱险,杰拉尔·乌里,,1,1966,法国,喜剧,8.9,292172
罗生门,黑泽明,,1,1950,日本,剧情,8.8,354754
真爱至上,理查德·柯蒂斯,,1,2003,英国,喜剧,8.5,799562
哈利·波特与凤凰社,大卫·叶茨,,1,2007,英国,奇幻,8.6,686168
彗星来的那一夜,詹姆斯·沃德·布柯特,,1,2013,美国,科幻,8.6,675343
恋恋笔记本,尼克·卡索维茨,,1,2004,美国,剧情,8.5,741917
海边的曼彻斯特,肯尼斯·罗纳根,,1,2016,美国,剧情,8.6,643802
火星救援,雷德利·斯科特,,1,2015,英国,剧情,8.5,823429
黑客帝国2：重装上阵,拉娜·沃卓斯基,莉莉·沃卓斯基,2,2003,美国,动作,8.7,451172
奇迹男孩,斯蒂芬·卓博斯基,,1,2017,美国,剧情,8.6,596804
步履不停,是枝裕和,,1,2008,日本,剧情,8.8,322557
千年女优,今敏,,1,2001,日本,动画,8.8,314237
战争之王,安德鲁·尼科尔,,1,2005,美国,剧情,8.7,411614
萤火虫之墓,高畑勋,,1,1988,日本,动画,8.7,436492
谍影重重2,保罗·格林格拉斯,,1,2004,美国,动作,8.7,395634
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂,彼得·拉姆齐,2,2018,美国,动作,8.6,749982
攻壳机动队,押井守,,1,1995,日本,动作,9.0,214066
冰雪奇缘,克里斯·巴克,珍妮弗·李,2,2013,美国,喜剧,8.5,814677
血钻,爱德华·兹威克,,1,2006,美国,剧情,8.7,418607
魂断蓝桥,茂文·勒鲁瓦,,1,1940,美国,剧情,8.8,307967
隐藏人物,特奥多尔·梅尔菲,,1,2016,美国,剧情,8.9,267203
房间,伦尼·阿伯拉罕森,,1,2015,爱尔兰,剧情,8.7,397519
小姐,朴赞郁,,1,2016,韩国,剧情,8.5,563875
